,University,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
19,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Colombia Coffee Roasters,51.752468701923064,-1.256510223948958,Café
20,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Varsity Club,51.75232042997058,-1.2569471682058817,Nightclub
21,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Chiang Mai Kitchen,51.75203953801731,-1.256471500682537,Thai Restaurant
22,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Waterstones,51.754102413708374,-1.2588018873214697,Bookstore
23,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Quod Brasserie & Bar,51.752658254623604,-1.2532285503601008,Steakhouse
24,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Sasi Thai,51.752494970517155,-1.256792044018348,Thai Restaurant
25,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Society Cafe,51.753503554035994,-1.2593498352524253,Coffee Shop
26,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Jim Garrahy's Fudge Kitchen,51.7542987254687,-1.2581069867645793,Candy Store
27,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Pret A Manger,51.75348734540901,-1.2585387472749385,Sandwich Place
28,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Leon,51.753249388426106,-1.2585014712027747,Restaurant
29,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Fernando's Cafe,51.75202178849575,-1.2580284560622235,Brazilian Restaurant
30,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Edamame,51.75497452230686,-1.2510865111137568,Sushi Restaurant
31,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,George & Danver,51.75051738093818,-1.2569597006992463,Ice Cream Shop
32,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Starbucks,51.752461,-1.257859,Coffee Shop
33,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,The Nosebag,51.753557592190546,-1.259106793888906,Café
34,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Olives Deli,51.75264267409487,-1.2503470906397827,Deli / Bodega
35,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,The King's Arms,51.7549939272524,-1.2544174285033043,Pub
36,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,The Ashmolean Museum,51.75524560295481,-1.2600788679951611,History Museum
37,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,The Handle Bar,51.753215945543445,-1.2603909043376942,Café
38,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Turl Street Kitchen,51.75400597042651,-1.2565315107225623,Restaurant
39,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,The Old Bank Hotel,51.752612137034916,-1.2532002134051647,Hotel
40,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Oxford University Press Bookshop,51.75232193845643,-1.255415992709043,Bookstore
41,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Patisserie Valerie,51.75267736288355,-1.2528023754485922,Café
42,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,The Grand Café,51.75262174104926,-1.250529277732537,Coffee Shop
43,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Pret A Manger,51.75216617680813,-1.2578710739422088,Sandwich Place
44,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,AMT Coffee,51.75364257106358,-1.2585225141561753,Coffee Shop
45,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Scriptum,51.75252143920962,-1.255841319455519,Stationery Store
46,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,The White Rabbit,51.754431512192106,-1.2608840817676605,Pizza Place
47,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,The House,51.7515316165105,-1.256138814696927,Cocktail Bar
48,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,George Street Social,51.75359567485429,-1.2610429097624478,Coffee Shop
49,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Thai Street Kitchen,51.753551,-1.259128,Thai Restaurant
50,UNIVERSITY OF CAMBRIDGE,52.17638955,0.14308881541518698,Starbucks,52.175116,0.139697,Coffee Shop
51,UNIVERSITY OF CAMBRIDGE,52.17638955,0.14308881541518698,Costa Coffee,52.17423303878097,0.13961434364318848,Coffee Shop
52,UNIVERSITY OF CAMBRIDGE,52.17638955,0.14308881541518698,Burger King,52.17526607480962,0.13979149818226233,Fast Food Restaurant
53,UNIVERSITY OF CAMBRIDGE,52.17638955,0.14308881541518698,Addenbrooke's Hospital Bus Station,52.17591049382392,0.1450070411427315,Bus Station
54,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Zoologisches Museum,47.375038648781995,8.548072985595217,Science Museum
55,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Polyterrasse,47.375931682853754,8.546564498752591,Plaza
56,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,The Alehouse - Palmhof,47.37913804950045,8.548037081392495,Gastropub
57,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Grande Café & Bar,47.375479016798664,8.54339495305972,Bar
58,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Rechberg 1837,47.37405,8.546306,Spanish Restaurant
59,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Walliserkeller,47.374917001770676,8.544565352362122,Swiss Restaurant
60,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Safari Bar,47.37553280255191,8.544631935087006,Bar
61,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Holy Cow,47.37553132720041,8.544674355097548,Burger Joint
62,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Raclette-Stube,47.37480745454033,8.54468951042981,Swiss Restaurant
63,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,St. Josef Hotel,47.375512115749196,8.545614724498462,Hotel
64,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Chez Marion,47.374132674000386,8.544701109245668,French Restaurant
65,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Franzos,47.376170075785396,8.54376859770846,Café
66,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,ETH Dozentenfoyer,47.376322686862295,8.547652194688789,Restaurant
67,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,La Pasta,47.375945400693396,8.544018771879072,Italian Restaurant
68,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Mohini,47.37826692507983,8.544294207769966,Vegetarian / Vegan Restaurant
69,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Kleine Freiheit,47.379215987162425,8.544587902536955,Snack Place
